"","nmz","ndz","a","c","e","g","b","x","PGS","A","p1","p2","p3","p4","p5","p6","p7","p8","p9","Smz","Sdz"
"100",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.06,0,0.1,0.9,0.551,0.723,0.878,0.277,0.204,0.827,0.942,0.58,0.379,0.203087548969429,0.165140217047409
"101",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.08,0,0.1,0.9,0.618,0.789,0.959,0.273,0.326,0.85,0.987,0.561,0.58,0.234385770250776,0.183789327688082
"102",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.1,0,0.1,0.9,0.681,0.862,0.99,0.28,0.472,0.869,0.998,0.54,0.765,0.266483991532123,0.203238438328756
"103",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0,0,0.1,0.9,0.481,0.68,0.468,0.431,0.05,0.876,0.478,0.783,0.05,0.146491106406735,0.146491106406735
"104",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.02,0,0.1,0.9,0.552,0.746,0.674,0.421,0.067,0.906,0.72,0.785,0.084,0.176189327688082,0.163540217047409
"105",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.04,0,0.1,0.9,0.619,0.798,0.827,0.403,0.116,0.91,0.898,0.752,0.19,0.206687548969429,0.181389327688082
"106",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.06,0,0.1,0.9,0.682,0.868,0.94,0.414,0.207,0.936,0.976,0.763,0.379,0.237985770250776,0.200038438328756
"107",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.08,0,0.1,0.9,0.739,0.885,0.981,0.376,0.309,0.945,0.996,0.739,0.576,0.270083991532123,0.219487548969429
"108",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.1,0,0.1,0.9,0.79,0.93,0.994,0.402,0.467,0.959,0.999,0.739,0.761,0.30298221281347,0.239736659610103
"109",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0,0,0.15,0.85,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,-1.11022302462516e-16,-1.11022302462516e-16
"110",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.02,0,0.15,0.85,0.057,0.061,0.112,0.05,0.081,0.055,0.138,0.05,0.111,0.0256982212813468,0.0130491106406734
"111",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.04,0,0.15,0.85,0.079,0.096,0.288,0.05,0.166,0.069,0.391,0.05,0.28,0.052196442562694,0.0268982212813471
"112",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.06,0,0.15,0.85,0.115,0.15,0.567,0.05,0.328,0.092,0.713,0.05,0.559,0.079494663844041,0.0415473319220205
"113",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.08,0,0.15,0.85,0.166,0.238,0.809,0.05,0.493,0.124,0.924,0.05,0.778,0.107592885125388,0.0569964425626939
"114",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.1,0,0.15,0.85,0.231,0.34,0.943,0.05,0.679,0.168,0.989,0.05,0.932,0.136491106406735,0.0732455532033676
"115",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0,0,0.15,0.85,0.079,0.095,0.077,0.074,0.05,0.129,0.077,0.111,0.05,0.026098221281347,0.026098221281347
"116",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.02,0,0.15,0.85,0.115,0.152,0.215,0.075,0.079,0.172,0.262,0.11,0.108,0.0525964425626939,0.0399473319220205
"117",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.04,0,0.15,0.85,0.167,0.232,0.452,0.073,0.157,0.224,0.553,0.108,0.269,0.079894663844041,0.0545964425626941
"118",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.06,0,0.15,0.85,0.232,0.336,0.739,0.074,0.32,0.286,0.859,0.109,0.563,0.107992885125388,0.0700455532033675
"119",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.08,0,0.15,0.85,0.309,0.442,0.929,0.072,0.494,0.358,0.979,0.108,0.811,0.136891106406735,0.0862946638440412
"120",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.1,0,0.15,0.85,0.394,0.553,0.98,0.073,0.682,0.415,0.997,0.105,0.933,0.166589327688082,0.103343774484715
"121",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0,0,0.15,0.85,0.167,0.239,0.156,0.154,0.05,0.379,0.158,0.311,0.05,0.0537964425626938,0.0537964425626938
