"","nmz","ndz","a","c","e","g","b","x","PGS","A","p1","p2","p3","p4","p5","p6","p7","p8","p9","p10","p11","p12","p13","p14","p15","p16","Smz","Sdz"
"81",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.06,0,0.1,0.9,0.454,0.68,0.087,0.388,0.454,0.68,0.087,0.388,0.454,0.68,0.087,0.388,0.423,0.554,0.065,0.22,0.107992885125388,0.0700455532033675
"82",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.08,0,0.1,0.9,0.611,0.875,0.086,0.606,0.611,0.875,0.086,0.606,0.611,0.875,0.086,0.606,0.587,0.759,0.065,0.349,0.136891106406735,0.0862946638440412
"83",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.1,0,0.1,0.9,0.755,0.967,0.085,0.794,0.755,0.967,0.085,0.794,0.755,0.967,0.085,0.794,0.737,0.897,0.065,0.496,0.166589327688082,0.103343774484715
"84",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0,0,0.1,0.9,0.285,0.12,0.212,0.05,0.285,0.12,0.212,0.05,0.285,0.121,0.212,0.05,0.186,0.118,0.116,0.05,0.0537964425626938,0.0537964425626938
"85",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.02,0,0.1,0.9,0.419,0.304,0.208,0.086,0.419,0.304,0.208,0.086,0.419,0.304,0.208,0.086,0.31,0.263,0.114,0.068,0.0810946638440408,0.0684455532033674
"86",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.04,0,0.1,0.9,0.568,0.564,0.204,0.199,0.568,0.564,0.204,0.199,0.568,0.564,0.204,0.199,0.463,0.472,0.112,0.123,0.109192885125388,0.083894663844041
"87",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.06,0,0.1,0.9,0.711,0.8,0.2,0.383,0.711,0.8,0.2,0.383,0.711,0.8,0.2,0.383,0.622,0.689,0.111,0.216,0.138091106406735,0.100143774484715
"88",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.08,0,0.1,0.9,0.829,0.936,0.196,0.599,0.829,0.936,0.196,0.599,0.829,0.936,0.196,0.599,0.764,0.854,0.109,0.341,0.167789327688082,0.117192885125388
"89",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.1,0,0.1,0.9,0.911,0.986,0.192,0.786,0.911,0.986,0.192,0.786,0.911,0.986,0.192,0.786,0.871,0.946,0.108,0.485,0.198287548969429,0.135041995766061
"90",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0,0,0.1,0.9,0.54,0.21,0.401,0.05,0.54,0.21,0.401,0.05,0.54,0.21,0.401,0.05,0.35,0.203,0.196,0.05,0.0830946638440411,0.0830946638440411
"91",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.02,0,0.1,0.9,0.677,0.445,0.392,0.086,0.677,0.445,0.392,0.086,0.677,0.445,0.392,0.086,0.503,0.393,0.192,0.068,0.111192885125388,0.0985437744847144
"92",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.04,0,0.1,0.9,0.797,0.704,0.384,0.196,0.797,0.704,0.384,0.196,0.797,0.704,0.384,0.196,0.657,0.613,0.189,0.121,0.140091106406735,0.114792885125388
"93",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.06,0,0.1,0.9,0.887,0.887,0.376,0.377,0.887,0.887,0.376,0.377,0.887,0.887,0.376,0.377,0.79,0.8,0.185,0.211,0.169789327688082,0.131841995766062
